"Result:vUSN SI MM(2026-06-02 145134)_20260602_144736.csv"
"Save Time:2026-06-02 14:47:36"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:S1 mode user resource"

"Total 854 records"

"Start Time","Period (min)","NE Name","UsnFunction","Maximum attached users (number)"
"2026-05-05 03:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","422966"
"2026-05-05 04:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","431225"
"2026-05-05 05:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","454036"
"2026-05-05 06:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","472004"
"2026-05-05 07:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","475970"
"2026-05-05 08:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","477128"
"2026-05-05 09:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","477024"
"2026-05-05 10:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","475521"
"2026-05-05 11:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","473569"
"2026-05-05 12:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","471635"
"2026-05-05 13:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","470944"
"2026-05-05 14:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","470387"
"2026-05-05 15:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","471747"
"2026-05-05 16:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","476669"
"2026-05-05 17:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","487639"
"2026-05-05 18:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","500636"
"2026-05-05 19:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","502841"
"2026-05-05 20:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","502035"
"2026-05-05 21:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","491200"
"2026-05-05 22:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","470684"
"2026-05-05 23:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","450836"
"2026-05-06 00:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","434981"
"2026-05-06 01:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","426992"
"2026-05-06 02:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","424097"
"2026-05-06 03:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","425678"
"2026-05-06 04:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","433744"
"2026-05-06 05:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","455632"
"2026-05-06 06:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","473801"
