"Result:4G bearer SGW-C and PGW-C(1)(2026-06-02 153401)_20260602_153225.csv"
"Save Time:2026-06-02 15:32:25"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:SGW-C and PGW-C combined Basic session performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","CGW function","SGW-C and PGW-C combined current active bearers (number)","SGW-C and PGW-C combined current active sessions (number)","SGW-C and PGW-C combined Max number of Active EPS Bearers (number)"
"2026-05-25 01:00:00","60","LLG_vCGW01","nodeName=cgw","442769","442735","444548"
"2026-05-25 02:00:00","60","LMB_vCGW01","nodeName=cgw","441283","441277","441534"
"2026-05-25 02:00:00","60","LLG_vCGW01","nodeName=cgw","442701","442664","442735"
"2026-05-25 03:00:00","60","LMB_vCGW01","nodeName=cgw","444179","444171","444193"
"2026-05-25 03:00:00","60","LLG_vCGW01","nodeName=cgw","445959","445923","445959"
"2026-05-25 04:00:00","60","LMB_vCGW01","nodeName=cgw","453259","453249","453259"
"2026-05-25 04:00:00","60","LLG_vCGW01","nodeName=cgw","455348","455312","455348"
"2026-05-25 05:00:00","60","LMB_vCGW01","nodeName=cgw","476419","476393","476419"
"2026-05-25 05:00:00","60","LLG_vCGW01","nodeName=cgw","480261","480196","480261"
"2026-05-25 06:00:00","60","LMB_vCGW01","nodeName=cgw","496402","496339","496417"
"2026-05-25 06:00:00","60","LLG_vCGW01","nodeName=cgw","503679","503541","503690"
"2026-05-25 07:00:00","60","LMB_vCGW01","nodeName=cgw","498516","498445","499003"
"2026-05-25 07:00:00","60","LLG_vCGW01","nodeName=cgw","510823","510635","510853"
"2026-05-25 08:00:00","60","LMB_vCGW01","nodeName=cgw","496876","496804","498637"
"2026-05-25 08:00:00","60","LLG_vCGW01","nodeName=cgw","512990","512783","512990"
"2026-05-25 09:00:00","60","LMB_vCGW01","nodeName=cgw","494402","494327","497053"
"2026-05-25 09:00:00","60","LLG_vCGW01","nodeName=cgw","513604","513402","513892"
"2026-05-25 10:00:00","60","LMB_vCGW01","nodeName=cgw","489121","489053","494519"
"2026-05-25 10:00:00","60","LLG_vCGW01","nodeName=cgw","515976","515765","516822"
"2026-05-25 11:00:00","60","LMB_vCGW01","nodeName=cgw","487797","487717","489033"
"2026-05-25 11:00:00","60","LLG_vCGW01","nodeName=cgw","514544","514318","515969"
"2026-05-25 12:00:00","60","LMB_vCGW01","nodeName=cgw","487152","487072","488114"
"2026-05-25 12:00:00","60","LLG_vCGW01","nodeName=cgw","514204","513984","514639"
"2026-05-25 13:00:00","60","LMB_vCGW01","nodeName=cgw","485242","485166","487108"
"2026-05-25 13:00:00","60","LLG_vCGW01","nodeName=cgw","513507","513286","514380"
"2026-05-25 14:00:00","60","LMB_vCGW01","nodeName=cgw","485643","485570","485695"
"2026-05-25 14:00:00","60","LLG_vCGW01","nodeName=cgw","514050","513839","514183"
"2026-05-25 15:00:00","60","LLG_vCGW01","nodeName=cgw","516097","515872","516147"
"2026-05-25 15:00:00","60","LMB_vCGW01","nodeName=cgw","489453","489388","489476"
"2026-05-25 16:00:00","60","LMB_vCGW01","nodeName=cgw","497639","497565","497639"
"2026-05-25 16:00:00","60","LLG_vCGW01","nodeName=cgw","522356","522122","522356"
"2026-05-25 17:00:00","60","LMB_vCGW01","nodeName=cgw","516936","516844","516964"
"2026-05-25 17:00:00","60","LLG_vCGW01","nodeName=cgw","534823","534572","534823"
"2026-05-25 18:00:00","60","LMB_vCGW01","nodeName=cgw","531398","531303","531545"
"2026-05-25 18:00:00","60","LLG_vCGW01","nodeName=cgw","547558","547309","547684"
"2026-05-25 19:00:00","60","LMB_vCGW01","nodeName=cgw","531402","531335","532528"
"2026-05-25 19:00:00","60","LLG_vCGW01","nodeName=cgw","548948","548723","549924"
"2026-05-25 20:00:00","60","LMB_vCGW01","nodeName=cgw","515482","515428","531365"
"2026-05-25 20:00:00","60","LLG_vCGW01","nodeName=cgw","536811","536649","548915"
"2026-05-25 21:00:00","60","LMB_vCGW01","nodeName=cgw","487524","487485","515330"
"2026-05-25 21:00:00","60","LLG_vCGW01","nodeName=cgw","511375","511262","536697"
"2026-05-25 22:00:00","60","LMB_vCGW01","nodeName=cgw","465230","465216","487349"
"2026-05-25 22:00:00","60","LLG_vCGW01","nodeName=cgw","489067","488995","511252"
"2026-05-25 23:00:00","60","LMB_vCGW01","nodeName=cgw","452815","452810","464979"
"2026-05-25 23:00:00","60","LLG_vCGW01","nodeName=cgw","475572","475528","488868"
"2026-05-26 00:00:00","60","LMB_vCGW01","nodeName=cgw","444755","444748","451733"
"2026-05-26 00:00:00","60","LLG_vCGW01","nodeName=cgw","466623","466585","474030"
"2026-05-26 01:00:00","60","LMB_vCGW01","nodeName=cgw","442126","442121","444671"
"2026-05-26 01:00:00","60","LLG_vCGW01","nodeName=cgw","463604","463571","466569"
"2026-05-26 02:00:00","60","LMB_vCGW01","nodeName=cgw","441643","441638","442028"
"2026-05-26 02:00:00","60","LLG_vCGW01","nodeName=cgw","463056","463024","463558"
"2026-05-26 03:00:00","60","LMB_vCGW01","nodeName=cgw","444191","444185","444191"
"2026-05-26 03:00:00","60","LLG_vCGW01","nodeName=cgw","465015","464980","465015"
"2026-05-26 04:00:00","60","LMB_vCGW01","nodeName=cgw","452857","452848","452857"
"2026-05-26 04:00:00","60","LLG_vCGW01","nodeName=cgw","472995","472956","472995"
"2026-05-26 05:00:00","60","LMB_vCGW01","nodeName=cgw","476258","476236","476263"
"2026-05-26 05:00:00","60","LLG_vCGW01","nodeName=cgw","494138","494071","494138"
"2026-05-26 06:00:00","60","LMB_vCGW01","nodeName=cgw","496104","496051","496104"
"2026-05-26 06:00:00","60","LLG_vCGW01","nodeName=cgw","515452","515329","515452"
"2026-05-26 07:00:00","60","LMB_vCGW01","nodeName=cgw","497407","497322","498104"
"2026-05-26 07:00:00","60","LLG_vCGW01","nodeName=cgw","520320","520120","520323"
"2026-05-26 08:00:00","60","LMB_vCGW01","nodeName=cgw","494858","494787","497374"
"2026-05-26 08:00:00","60","LLG_vCGW01","nodeName=cgw","520985","520758","521324"
"2026-05-26 09:00:00","60","LMB_vCGW01","nodeName=cgw","492508","492431","494791"
"2026-05-26 09:00:00","60","LLG_vCGW01","nodeName=cgw","520779","520560","521069"
"2026-05-26 10:00:00","60","LMB_vCGW01","nodeName=cgw","489489","489413","492509"
"2026-05-26 10:00:00","60","LLG_vCGW01","nodeName=cgw","519507","519295","520851"
"2026-05-26 11:00:00","60","LMB_vCGW01","nodeName=cgw","487056","486988","489545"
"2026-05-26 11:00:00","60","LLG_vCGW01","nodeName=cgw","518345","518141","519470"
"2026-05-26 12:00:00","60","LMB_vCGW01","nodeName=cgw","486192","486125","487123"
"2026-05-26 12:00:00","60","LLG_vCGW01","nodeName=cgw","517493","517312","518404"
"2026-05-26 13:00:00","60","LMB_vCGW01","nodeName=cgw","484067","484001","486256"
"2026-05-26 13:00:00","60","LLG_vCGW01","nodeName=cgw","516458","516259","517487"
"2026-05-26 14:00:00","60","LLG_vCGW01","nodeName=cgw","516809","516609","516887"
"2026-05-26 14:00:00","60","LMB_vCGW01","nodeName=cgw","485271","485198","485271"
"2026-05-26 15:00:00","60","LMB_vCGW01","nodeName=cgw","488261","488191","488261"
"2026-05-26 15:00:00","60","LLG_vCGW01","nodeName=cgw","517948","517762","517961"
"2026-05-26 16:00:00","60","LMB_vCGW01","nodeName=cgw","497169","497088","497169"
"2026-05-26 16:00:00","60","LLG_vCGW01","nodeName=cgw","523928","523718","523941"
"2026-05-26 17:00:00","60","LMB_vCGW01","nodeName=cgw","515078","514982","515078"
"2026-05-26 17:00:00","60","LLG_vCGW01","nodeName=cgw","537207","536933","537207"
"2026-05-26 18:00:00","60","LMB_vCGW01","nodeName=cgw","530873","530798","531077"
"2026-05-26 18:00:00","60","LLG_vCGW01","nodeName=cgw","549816","549594","549918"
"2026-05-26 19:00:00","60","LMB_vCGW01","nodeName=cgw","533235","533159","534061"
"2026-05-26 19:00:00","60","LLG_vCGW01","nodeName=cgw","550133","549907","551877"
"2026-05-26 20:00:00","60","LMB_vCGW01","nodeName=cgw","517281","517214","533260"
"2026-05-26 20:00:00","60","LLG_vCGW01","nodeName=cgw","538015","537832","550095"
"2026-05-26 21:00:00","60","LMB_vCGW01","nodeName=cgw","489799","489770","517106"
"2026-05-26 21:00:00","60","LLG_vCGW01","nodeName=cgw","512633","512509","537858"
"2026-05-26 22:00:00","60","LMB_vCGW01","nodeName=cgw","467711","467701","489624"
"2026-05-26 22:00:00","60","LLG_vCGW01","nodeName=cgw","489708","489650","512544"
"2026-05-26 23:00:00","60","LMB_vCGW01","nodeName=cgw","455055","455047","467514"
"2026-05-26 23:00:00","60","LLG_vCGW01","nodeName=cgw","476874","476837","489482"
"2026-05-27 00:00:00","60","LMB_vCGW01","nodeName=cgw","447398","447392","453967"
"2026-05-27 00:00:00","60","LLG_vCGW01","nodeName=cgw","468200","468169","475333"
"2026-05-27 01:00:00","60","LMB_vCGW01","nodeName=cgw","444860","444852","447397"
"2026-05-27 01:00:00","60","LLG_vCGW01","nodeName=cgw","465725","465694","468209"
"2026-05-27 02:00:00","60","LMB_vCGW01","nodeName=cgw","444462","444454","444842"
"2026-05-27 02:00:00","60","LLG_vCGW01","nodeName=cgw","465213","465182","465571"
"2026-05-27 03:00:00","60","LMB_vCGW01","nodeName=cgw","447096","447084","447096"
"2026-05-27 03:00:00","60","LLG_vCGW01","nodeName=cgw","467321","467287","467321"
"2026-05-27 04:00:00","60","LMB_vCGW01","nodeName=cgw","456253","456243","456253"
"2026-05-27 04:00:00","60","LLG_vCGW01","nodeName=cgw","475631","475595","475631"
"2026-05-27 05:00:00","60","LMB_vCGW01","nodeName=cgw","479171","479151","479171"
"2026-05-27 05:00:00","60","LLG_vCGW01","nodeName=cgw","497439","497370","497439"
"2026-05-27 06:00:00","60","LMB_vCGW01","nodeName=cgw","499282","499240","499321"
"2026-05-27 06:00:00","60","LLG_vCGW01","nodeName=cgw","518658","518509","518668"
"2026-05-27 07:00:00","60","LMB_vCGW01","nodeName=cgw","500039","499959","501243"
"2026-05-27 07:00:00","60","LLG_vCGW01","nodeName=cgw","523157","522976","523371"
"2026-05-27 08:00:00","60","LMB_vCGW01","nodeName=cgw","498328","498244","500834"
"2026-05-27 08:00:00","60","LLG_vCGW01","nodeName=cgw","523994","523789","524480"
"2026-05-27 09:00:00","60","LMB_vCGW01","nodeName=cgw","496597","496519","498444"
"2026-05-27 09:00:00","60","LLG_vCGW01","nodeName=cgw","524024","523799","524543"
"2026-05-27 10:00:00","60","LMB_vCGW01","nodeName=cgw","494519","494432","496574"
"2026-05-27 10:00:00","60","LLG_vCGW01","nodeName=cgw","523003","522801","524146"
"2026-05-27 11:00:00","60","LMB_vCGW01","nodeName=cgw","491572","491512","494479"
"2026-05-27 11:00:00","60","LLG_vCGW01","nodeName=cgw","521359","521158","523027"
"2026-05-27 12:00:00","60","LMB_vCGW01","nodeName=cgw","490127","490050","491741"
"2026-05-27 12:00:00","60","LLG_vCGW01","nodeName=cgw","520619","520412","521428"
"2026-05-27 13:00:00","60","LMB_vCGW01","nodeName=cgw","488279","488207","490226"
"2026-05-27 13:00:00","60","LLG_vCGW01","nodeName=cgw","518731","518529","520622"
"2026-05-27 14:00:00","60","LMB_vCGW01","nodeName=cgw","489498","489425","489498"
"2026-05-27 14:00:00","60","LLG_vCGW01","nodeName=cgw","518997","518795","519125"
"2026-05-27 15:00:00","60","LMB_vCGW01","nodeName=cgw","492257","492194","492360"
"2026-05-27 15:00:00","60","LLG_vCGW01","nodeName=cgw","520209","520016","520218"
"2026-05-27 16:00:00","60","LMB_vCGW01","nodeName=cgw","498868","498790","498868"
"2026-05-27 16:00:00","60","LLG_vCGW01","nodeName=cgw","525207","524986","525291"
"2026-05-27 17:00:00","60","LMB_vCGW01","nodeName=cgw","516475","516392","516475"
"2026-05-27 17:00:00","60","LLG_vCGW01","nodeName=cgw","537153","536935","537170"
"2026-05-27 18:00:00","60","LMB_vCGW01","nodeName=cgw","531284","531202","531284"
"2026-05-27 18:00:00","60","LLG_vCGW01","nodeName=cgw","548826","548588","548930"
"2026-05-27 19:00:00","60","LMB_vCGW01","nodeName=cgw","533822","533754","534200"
"2026-05-27 19:00:00","60","LLG_vCGW01","nodeName=cgw","548851","548660","550298"
"2026-05-27 20:00:00","60","LMB_vCGW01","nodeName=cgw","518053","517979","533732"
"2026-05-27 20:00:00","60","LLG_vCGW01","nodeName=cgw","535516","535315","548960"
"2026-05-27 21:00:00","60","LMB_vCGW01","nodeName=cgw","490428","490381","517955"
"2026-05-27 21:00:00","60","LLG_vCGW01","nodeName=cgw","511531","511408","535489"
"2026-05-27 22:00:00","60","LMB_vCGW01","nodeName=cgw","467833","467813","490283"
"2026-05-27 22:00:00","60","LLG_vCGW01","nodeName=cgw","489160","489099","511390"
