"Result:vMGW License Usage(2026-06-02 154429)_20260602_154545.csv"
"Save Time:2026-06-02 15:45:45"
"User Name:fraser.msusa"


"NE Type Name:CloudSE2980"

"NE Names:CloudSBC01_SBC;LLWVMGW01;LMBVMGW01"

"Function Subset Name:License Resource Usage Measurement (MGW)"

"Total 837 records"

"Start Time","Period (min)","NE Name","Software System","License Resource Usage for Basic Software on the MGW (%)"
"2026-05-25 08:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-25 08:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-25 09:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 09:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-25 09:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-25 10:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 10:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","31"
"2026-05-25 10:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-25 11:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 11:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","30"
"2026-05-25 11:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-25 12:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 12:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","31"
"2026-05-25 12:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-25 13:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 13:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","31"
"2026-05-25 13:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-25 14:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 14:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","31"
"2026-05-25 14:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","22"
"2026-05-25 15:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 15:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","33"
"2026-05-25 15:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","23"
"2026-05-25 16:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","27"
"2026-05-25 16:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","39"
"2026-05-25 16:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 17:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","50"
"2026-05-25 17:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","37"
"2026-05-25 17:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 18:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 18:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","55"
"2026-05-25 18:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","42"
"2026-05-25 19:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 19:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","55"
"2026-05-25 19:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","43"
"2026-05-25 20:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 20:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","52"
"2026-05-25 20:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","39"
